User,Followers,Posts
malininapolly,6389,9
veranda_studios,6383,1
fotografdiana,6360,5
photoalena,6315,4
nemo_couture,6263,7
yubkinet,6203,2
golota_darya,6134,1
zarina_kulmurzina,6113,2
fotofaktura,6100,1
lisavenok,6093,5
photo_vera,6044,5
detkaketi,6025,1
ssmdress,6011,1
alexeeva_victoria,5934,2
gold__diana,5902,4
shamariki,5888,1
prokat_kostumov_yakutsk,5868,2
enilandshop,5855,4
lolli_popka,5822,1
fashion_injection,5792,2
marydedkovaphotography,5767,1
aaafoto,5766,1
vadzzimm,5748,2
dlfotospb,5725,7
mariabratolyubova,5656,1
duh_babystyle,5536,2
photosolt,5530,1
t.kudriashova,5515,1
ewgeniarolsing,5490,1
ruledpixphoto,5432,1
the_ipaparazzi,5430,1
anna_kabirova_rnd,5395,1
inwood_toys,5375,4
baby_world_kz,5360,1
tutu_girls_astana,5357,7
linaserykh,5349,12
oksanabooka,5346,1
mimimircom,5339,4
12345sveta,5292,1
sashazhuravlevaphoto,5287,1
wowlook.pro,5283,2
innarevyako,5264,2
handmade_tilda_almaty,5260,4
anuta_loves_cake,5217,1
yulya_garts,5216,1
misswhite_atelier,5213,13
liniya_lubvi_karaganda,5203,2
martimilka_shop,5201,1
fiori_kharkiv,5190,1
xeniaudalova,5190,1
zarinabutrym,5158,3
anastasiya.kokhna,5137,2
averinamaria,5133,3
yuliya_pattaya,5121,1
evgeniya_nesterova,5111,3
madina_vizaj,5101,1
oksana_alshevskaya,5069,1
rudilena,5065,1
_vb_ververa_,5046,7
valeria_erza,5035,1
